개포자이프레지던스 20·30평대 반전세  |  76건  |  전환율 4.5%,,,,,,,,,,,,,,,,,,,
단지구분,단지,평형대,공급평,공급㎡,전용㎡,동,층,향,보증금 만원,월세 만원,전세환산가 만원,전세환산가 억,전환율,특징,중개사,전화,확인일,매물번호,링크
4단지,개포자이프레지던스,30평대,31,102.59,78.77,407동,중층/18층,남서향,100000,150,140000,14,4.5%,,개포탑자이공인중개사사무소,02-459-3040,,142892276,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142892276&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=2
4단지,개포자이프레지던스,30평대,31.1,102.73,78.32,405동,중층/15층,남서향,110000,120,142000,14.2,4.5%,31 귀한타입 풀옵션 보증금 조정가능 교통 학교 이용편리한동,개포마루(단지내)공인중개사사무소,02-3411-3211,26.08.11,142795152,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142795152&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=5
4단지,개포자이프레지던스,30평대,31,102.59,78.77,416동,중층/10층,남서향,70000,280,144667,14.47,4.5%,31 보증금조정가 확실 오래거주가능 초품아 살고싶은아파트,개포우리공인중개사사무소,02-451-1000,26.07.28,142283768,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142283768&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=1
4단지,개포자이프레지던스,30평대,31,102.59,78.77,415동,중층/9층,남서향,60000,320,145333,14.53,4.5%,31 빠른입주가능 예쁜정원뷰 개포초인접 장기거주가능,단지내메리트공인중개사사무소,02-451-5888,26.07.20,141963916,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=141963916&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=2
4단지,개포자이프레지던스,30평대,31,102.59,78.77,416동,중층/10층,남향,60000,320,145333,14.53,4.5%,31 로얄동 보증금조정가 수영골프헬스사우나 개포초 유치원,한양공인중개사사무소,02-572-1647,26.07.16,141853792,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=141853792&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=2
4단지,개포자이프레지던스,30평대,31,102.59,78.77,407동,고층/18층,남서향,90000,210,146000,14.6,4.5%,전망좋은집 커뮤니티 가까운동 학교 교통 가까운동,개포마루(단지내)공인중개사사무소,02-3411-3211,26.08.11,142793340,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142793340&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=5
4단지,개포자이프레지던스,30평대,31,102.59,78.77,420동,고층/35층,남향,90000,210,146000,14.6,4.5%,"31 조망굿 ,대모산 뻥뷰 , 학교 가까운동",개포양지공인중개사사무소,02-571-1588,26.08.05,142567988,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142567988&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=8
4단지,개포자이프레지던스,30평대,31.1,102.73,78.32,405동,13층/15층,남서향,30000,440,147333,14.73,4.5%,31 초품아 살고싶은아파트 인기타입 보증금조정가,개포우리공인중개사사무소,02-451-1000,26.07.21,142011397,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142011397&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=2
4단지,개포자이프레지던스,30평대,31,102.59,78.77,403동,중층/12층,남향,110000,140,147333,14.73,4.5%,31.즉시계약 빠른입주 초품아 중석식,개포랜드팜공인중개사사무소,010-6726-3833,26.07.21,142021980,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142021980&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=2
4단지,개포자이프레지던스,30평대,31,102.59,78.77,403동,7층/12층,남동향,110000,140,147333,14.73,4.5%,31 직접 판상형 밝고따뜻한집 초록의정원뷰 개포동역인접 초품아 강추,신호단지내공인중개사사무소,02-3463-9995,26.07.31,142413513,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142413513&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=8
4단지,개포자이프레지던스,30평대,31,102.59,78.77,403동,7층/12층,남서향,110000,140,147333,14.73,4.5%,"31 초등학교,유치원인접 조경너무 이쁜집.",개포탑자이공인중개사사무소,02-459-3040,26.07.30,142358879,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142358879&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=8
4단지,개포자이프레지던스,30평대,31,102.59,78.77,407동,중층/18층,남서향,110000,140,147333,14.73,4.5%,"31 접근성,옵션 최상",개포자이힐즈공인중개사사무소,02-459-0911,26.07.22,142033878,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142033878&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=9
4단지,개포자이프레지던스,30평대,31,102.59,78.77,403동,고층/12층,남동향,90000,220,148667,14.87,4.5%,31 보증금조정가 풀에어컨 채광굿 개포초등학교 최고급커뮤니티,강남미소자이공인중개사사무소,02-575-5010,26.08.10,142754009,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142754009&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=5
4단지,개포자이프레지던스,30평대,31,102.59,78.77,420동,고층/35층,남향,90000,220,148667,14.87,4.5%,31 대모산뷰 프리미엄커뮤니티 중석식 인피니티풀,한양공인중개사사무소,02-572-1647,26.08.11,142810349,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142810349&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=4
4단지,개포자이프레지던스,30평대,31,102.59,78.77,403동,고층/12층,남서향,50000,380,151333,15.13,4.5%,"31, 초등학교,유치원 앞동,개포동역5분거리",개포탑자이공인중개사사무소,02-459-3040,26.07.16,141851234,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=141851234&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=10
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,421동,중층/30층,남서향,70000,320,155333,15.53,4.5%,34 오래거주가능 오름공원뷰 초품아 살고싶은아파트,개포우리공인중개사사무소,02-451-1000,26.07.28,142283994,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142283994&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=1
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,411동,저층/29층,남동향,50000,400,156667,15.67,4.5%,33 보증금조정가 최고급커뮤니티 3375대단지 초품아 중석식제공,닥터(02-2226-7582)공인중개사사무소,02-2226-7582,26.07.22,142037828,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142037828&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=9
4단지,개포자이프레지던스,30평대,31,102.59,78.77,420동,고층/35층,남동향,90000,250,156667,15.67,4.5%,31 대모산뷰 커뮤니티근접로얄동 초품아 살고싶은아파트,개포우리공인중개사사무소,02-451-1000,26.08.12,142865194,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142865194&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=3
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,429동,저층/26층,남동향,100000,220,158667,15.87,4.5%,34 대치학군 O장기거주 O실거주만족도최상,개포코리아공인중개사사무소,02-459-8886,26.08.08,142688724,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142688724&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=6
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,406동,고층/19층,남동향,80000,300,160000,16,4.5%,"33 거실조망 탁트인라인,보증금 조정가능",개포탑자이공인중개사사무소,02-459-3040,,142887767,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142887767&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=2
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,406동,중층/19층,남향,80000,300,160000,16,4.5%,"34 , 풀옵션 , 대치동 학원다니기 좋은라인 , 개포동역이용편리",개포양지공인중개사사무소,02-571-1588,26.07.24,142146464,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142146464&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=9
4단지,개포자이프레지던스,30평대,33.5,110.79,84.75,409동,고층/21층,남동향,80000,300,160000,16,4.5%,"33 거실조망 탁트인라인,대치동학원 개포동역 이용편리한동",개포탑자이공인중개사사무소,02-459-3040,26.08.12,142855118,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142855118&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=3
4단지,개포자이프레지던스,30평대,33.5,110.79,84.75,422동,중층/26층,남서향,80000,300,160000,16,4.5%,33 보증금조정가 채광굿 오름공원뷰 개포초등학교 최고급커뮤니티,강남미소자이공인중개사사무소,02-575-5010,26.07.27,142244940,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142244940&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=9
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,428동,저층/29층,남향,80000,300,160000,16,4.5%,34 오래거주가능 단지내정원뷰 초품아 살고싶은아파트,개포우리공인중개사사무소,02-451-1000,26.08.12,142865302,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142865302&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=3
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,428동,중층/29층,남동향,80000,300,160000,16,4.5%,33 보증금조정 호텔식최고급커뮤니티 3375대단지 초품아 중석식제공,닥터(02-2226-7582)공인중개사사무소,02-2226-7582,26.08.01,142447693,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142447693&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=8
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,429동,중층/26층,남향,80000,300,160000,16,4.5%,34 대모산뷰 로얄동 호텔식커뮤니티 초품아 중석식 인피니티풀,한양공인중개사사무소,02-572-1647,26.07.21,142013126,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142013126&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=10
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,421동,저층/30층,남서향,130000,120,162000,16.2,4.5%,33 보증금조정가 풀에어컨 채광굿 개포초등학교 최고급커뮤니티,강남미소자이공인중개사사무소,02-575-5010,26.08.06,142614072,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142614072&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=7
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,412동,고층/26층,남동향,120000,160,162667,16.27,4.5%,33 보증금조정가 풀에어컨 풀옵션 최고급커뮤니티,강남미소자이공인중개사사무소,02-575-5010,26.08.06,142613588,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142613588&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=7
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,409동,중층/21층,남동향,100000,240,164000,16.4,4.5%,입주협의 풀옵션 남동향 해볕잘드는집,개포마루(단지내)공인중개사사무소,02-3411-3211,26.08.11,142794142,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142794142&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=5
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,411동,저층/29층,남서향,100000,240,164000,16.4,4.5%,"33. 급월세,풀옵션,고급 커뮤니티, 확실출발",개포양지공인중개사사무소,02-571-1588,26.08.11,142813101,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142813101&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=4
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,411동,고층/29층,남동향,100000,240,164000,16.4,4.5%,33 보증금조정가 풀에어컨 풀옵션 최고급커뮤니티,강남미소자이공인중개사사무소,02-575-5010,26.08.06,142613895,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142613895&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=7
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,428동,중층/29층,남서향,100000,240,164000,16.4,4.5%,"34 ,대모산뷰,커뮤니티 가까운동 , 중석식 , 북카페",개포양지공인중개사사무소,02-571-1588,26.08.07,142642006,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142642006&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=7
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,429동,중층/26층,남동향,100000,240,164000,16.4,4.5%,34 대모산트인뷰 풀옵션 장기거주가 초품아 살고싶은아파트,개포우리공인중개사사무소,02-451-1000,26.08.12,142856730,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142856730&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=3
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,406동,중층/19층,남동향,90000,280,164667,16.47,4.5%,33 보증금조정가 풀에어컨 채광굿 개포초등학교 최고급커뮤니티,강남미소자이공인중개사사무소,02-575-5010,26.08.10,142754332,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142754332&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=5
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,406동,중층/19층,남동향,90000,280,164667,16.47,4.5%,33 보증금조정가 풀에어컨 채광굿 개포초등학교 최고급커뮤니티,강남미소자이공인중개사사무소,02-575-5010,26.08.10,142753841,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142753841&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=6
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,429동,고층/26층,남서향,90000,280,164667,16.47,4.5%,풀옵션/장기거주/보증금 조율,개포자이힐즈공인중개사사무소,02-459-0911,26.07.22,142033827,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142033827&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=10
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,406동,고층/19층,남서향,80000,320,165333,16.53,4.5%,접근성 굿/정상입주,개포자이힐즈공인중개사사무소,02-459-0911,26.07.23,142082103,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142082103&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=9
4단지,개포자이프레지던스,30평대,33.5,110.79,84.75,421동,중층/30층,남동향,80000,320,165333,16.53,4.5%,,개포탑자이공인중개사사무소,02-459-3040,26.07.30,142373800,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142373800&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=8
4단지,개포자이프레지던스,30평대,33.5,110.79,84.59,421동,24층/30층,남향,80000,320,165333,16.53,4.5%,34 조용한 동 풀옵션 채광굿 호텔급 커뮤니티,명공인중개사사무소,02-575-8924,26.07.29,142335523,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142335523&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=8
